id,plan,dbmemory,dbcores,dbdatasize,dbsystemsize,dbiops,dbcpufreq,prxcores,prxdatasize
1,x1.small,16384,2,700,300,300,3000,1,80
2,x1.small.compute,16384,4,700,300,300,3000,1,80
3,x1.small.perf,32768,2,700,300,600,3000,1,80
4,x1.middle,32768,4,700,300,600,3000,2,80
5,x1.middle.compute,32768,8,700,300,600,3000,2,80
6,x1.middle.perf,65536,4,700,300,800,3000,2,80
7,x1.large,65536,8,700,300,800,3000,2,80
8,x1.large.compute,65536,16,700,300,800,3000,2,80
9,x1.large.perf,131072,8,700,300,1000,3000,2,80
10,x1.huge,131072,16,700,300,1000,3000,4,80
11,x1.huge.compute,131072,32,700,300,1000,3000,4,80
12,x1.huge.perf,262144,16,700,300,2000,3000,4,80
13,x2.tiny,1024,2,700,300,300,3000,4,80
14,x2.small,16384,2,700,300,300,3000,1,80
15,x2.small.compute,16384,4,700,300,300,3000,1,80
16,x2.small.perf,32768,2,700,300,600,3000,1,80
17,x2.middle,32768,4,700,300,600,3000,2,80
18,x2.middle.compute,32768,8,700,300,600,3000,2,80
19,x2.middle.perf,65536,4,700,300,800,3000,2,80
20,x2.large,65536,8,700,300,800,3000,2,80
21,x2.large.compute,65536,16,700,300,800,3000,2,80
22,x2.large.perf,131072,8,700,300,1000,3000,2,80
23,x2.huge,131072,16,700,300,1000,3000,4,80
24,x2.huge.compute,131072,32,700,300,1000,3000,4,80
25,x2.huge.perf,262144,16,700,300,2000,3000,4,80
26,x3.small,16384,2,700,300,300,3000,1,80
27,x3.small.compute,16384,4,700,300,300,3000,1,80
28,x3.small.perf,32768,2,700,300,600,3000,1,80
29,x3.middle,32768,4,700,300,600,3000,2,80
30,x3.middle.compute,32768,8,700,300,600,3000,2,80
31,x3.middle.perf,65536,4,700,300,800,3000,2,80
32,x3.large,65536,8,700,300,800,3000,2,80
33,x3.large.compute,65536,16,700,300,800,3000,2,80
34,x3.large.perf,131072,8,700,300,1000,3000,2,80
35,x3.huge,131072,16,700,300,1000,3000,4,80
36,x3.huge.compute,131072,32,700,300,1000,3000,4,80
37,x3.huge.perf,262144,16,700,300,2000,3000,4,80
